date,icao,weather_delay
2015-06-19 17:00:00+00:00,KBNA,7.0
2015-06-19 22:40:00+00:00,KBNA,131.0
2015-06-20 17:49:00+00:00,KBNA,11.0
2015-06-21 22:35:00+00:00,KBNA,2.0
2015-06-23 18:00:00+00:00,KBNA,41.0
2015-06-23 19:50:00+00:00,KBNA,47.0
2015-06-23 21:35:00+00:00,KBNA,117.0
2015-06-23 22:10:00+00:00,KBNA,157.0
2015-06-24 00:20:00+00:00,KBNA,117.0
2015-06-24 01:00:00+00:00,KBNA,26.0
2015-06-24 01:00:00+00:00,KBNA,27.0
2015-06-24 01:00:00+00:00,KBNA,38.0
2015-06-24 01:05:00+00:00,KBNA,21.0
2015-06-24 01:30:00+00:00,KBNA,6.0
2015-06-24 21:06:00+00:00,KBNA,134.0
2015-06-24 23:41:00+00:00,KBNA,667.0
2015-06-26 01:50:00+00:00,KBNA,28.0
2015-06-27 13:00:00+00:00,KBNA,26.0
2015-06-27 22:31:00+00:00,KBNA,48.0
2015-06-28 21:35:00+00:00,KBNA,105.0
2015-06-29 00:12:00+00:00,KBNA,8.0
2015-06-30 00:11:00+00:00,KBNA,20.0
2015-06-30 01:59:00+00:00,KBNA,50.0
2015-06-30 02:15:00+00:00,KBNA,15.0
2015-06-30 02:20:00+00:00,KBNA,9.0
2015-06-30 02:30:00+00:00,KBNA,11.0
2015-07-01 00:35:00+00:00,KBNA,19.0
2015-07-01 17:10:00+00:00,KBNA,37.0
2015-07-01 18:17:00+00:00,KBNA,45.0
2015-07-01 19:00:00+00:00,KBNA,30.0
2015-07-02 10:00:00+00:00,KBNA,200.0
2015-07-02 12:45:00+00:00,KBNA,23.0
2015-07-02 12:50:00+00:00,KBNA,12.0
2015-07-02 12:55:00+00:00,KBNA,11.0
2015-07-02 12:55:00+00:00,KBNA,15.0
2015-07-02 13:00:00+00:00,KBNA,13.0
2015-07-03 20:43:00+00:00,KBNA,35.0
2015-07-05 22:40:00+00:00,KBNA,66.0
2015-07-06 21:35:00+00:00,KBNA,47.0
2015-07-07 00:20:00+00:00,KBNA,42.0
2015-07-07 11:30:00+00:00,KBNA,66.0
2015-07-07 22:12:00+00:00,KBNA,2.0
2015-07-08 00:22:00+00:00,KBNA,10.0
2015-07-08 20:05:00+00:00,KBNA,60.0
2015-07-08 22:05:00+00:00,KBNA,2.0
2015-07-10 00:35:00+00:00,KBNA,92.0
2015-07-10 19:00:00+00:00,KBNA,3.0
2015-07-10 23:05:00+00:00,KBNA,35.0
2015-07-12 17:10:00+00:00,KBNA,13.0
2015-07-12 19:05:00+00:00,KBNA,3.0
2015-07-13 11:15:00+00:00,KBNA,76.0
2015-07-14 02:15:00+00:00,KBNA,90.0
2015-07-14 18:00:00+00:00,KBNA,39.0
2015-07-14 18:55:00+00:00,KBNA,39.0
2015-07-14 19:00:00+00:00,KBNA,17.0
2015-07-14 19:20:00+00:00,KBNA,24.0
2015-07-14 19:22:00+00:00,KBNA,32.0
2015-07-14 19:23:00+00:00,KBNA,40.0
2015-07-14 19:29:00+00:00,KBNA,37.0
2015-07-14 19:35:00+00:00,KBNA,31.0
2015-07-14 19:40:00+00:00,KBNA,27.0
2015-07-14 19:50:00+00:00,KBNA,12.0
2015-07-14 19:50:00+00:00,KBNA,13.0
2015-07-14 20:05:00+00:00,KBNA,111.0
2015-07-14 20:10:00+00:00,KBNA,36.0
2015-07-14 21:00:00+00:00,KBNA,47.0
2015-07-14 22:12:00+00:00,KBNA,10.0
2015-07-15 00:00:00+00:00,KBNA,28.0
2015-07-16 23:35:00+00:00,KBNA,16.0
2015-07-17 20:43:00+00:00,KBNA,6.0
2015-07-17 23:35:00+00:00,KBNA,11.0
2015-07-18 19:23:00+00:00,KBNA,194.0
2015-07-18 20:43:00+00:00,KBNA,38.0
2015-07-18 22:12:00+00:00,KBNA,116.0
2015-07-18 23:20:00+00:00,KBNA,18.0
